comment,product_id,version_id,usage,usage_fil,enc_no,enc_name,edn_no,edn_date,upd_no,upd_date,comp_scale,min_x,min_y,max_x,max_y,USAGE_ID,NAME,DATSET,COMMEN,PRODUCT_STATUS,SETISSUEDATEONEXPORT,COMPSC,MIN_X,MIN_Y,MAX_X,MAX_Y
update,809,571903,,,,NZ204_pre publication South Island Light List,1,,0,,10000000,166.1104738,-48.07716,174.6435493,-40.3474549,26,,,,Active,N,,,,,
update,810,572902,,,,North Island,1,,0,,25000000,172.4078,-41.664,179.245,-34.039,26,,,,Active,N,,,,,
update,813,576902,,,,Pre-production South Island LL_2,1,,0,,10000000,166.1188,-48.065,174.63,-40.33,26,,,,Active,N,,,,,
update,816,579903,,,,South Island test_26-03-20,1,,0,,10000000,166.1104738,-48.07716,174.6435493,-40.3474549,26,,,,Active,N,,,,,
update,822,586902,,,,Chatham Island SR test,1,,0,,10000000,-177.399827,-44.1418315,-176.051518,-43.211966,26,,,,Active,N,,,,,
update,851,625903,,,,South Island test 08-07-20,1,,0,,10000000,166.0742,-48.05279,174.6325,-40.33564,26,,,,Active,N,,,,,
current,820,583904,Coastal,90000,NU300131,South Pacific Ocean - Niue,1,20200421,0,20200421,90000,-170.2266667,-19.3666667,-169.5233333,-18.75,,,,,,,,,,,
update,820,629903,,,NU300131,NU300131 - South Pacific Ocean - Niue,1,,1,20200721,90000,-170.2266667,-19.3666667,-169.5233333,-18.75,15,,,NU300131 -,Active,Y,,,,,
unchanged,817,629904,Approach,22000,NU400131,NU400131 - Niue - Beverage Reef,1,,1,20200722,45000,-167.8766667,-20.1083333,-167.6416667,-19.8866667,17,,,NU400131 -,Active,Y,,,,,
unchanged,821,584902,Harbour,4000,NU500131,NU500131 - South Pacific Ocean - Niue - Alofi Anchorage,1,,0,20200421,4000,-169.9341667,-19.0583333,-169.9166667,-19.0463333,24,,,NU500131 -,Active,Y,,,,,
unchanged,823,630904,Harbour,4000,NU501311,NU501311 - South Pacific Ocean - Niue - Entrance to Beveridge Reef,1,,1,20200722,22000,-167.791664,-20.0116651,-167.7649988,-19.9841649,20,,,NU501311 -,Active,Y,,,,,
